load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
1.2,30,8192,0.5495833333333333,0.0,0.0,1.0,0.5495833333333333,809.5930381789804,-145629.8714743752,-144820.2784361962,1429234.1349703302,43.96666666666667,268.32815729997475
1.2,60,8222,0.69375,4104.900598793989,0.31174747368583516,0.9,0.6,1790.323681488284,-147621.5996522291,-145831.27597074083,1316739.0100266603,27.75,379.4733192202055
1.2,120,8282,0.72375,0.0,0.0,1.0,0.72375,1612.2615968502942,-144605.46217274026,-142993.20057588996,1432775.0763902212,14.475,536.6563145999495
1.2,240,8402,0.4825,218.75573076377623,0.013776147558506712,0.95,0.44708333333333333,683.912937745481,-147790.38659882318,-147106.4736610777,1587931.0949213484,4.825,758.946638440411
0.6,30,9132,0.0375,0.0,0.0,1.0,0.0375,113.35178529987752,-123562.19232801537,-123448.8405427155,391760.3986410784,3.0,268.32815729997475
0.6,60,9162,0.0,0.0,0.0,1.0,0.0,0.0,-107933.4453292156,-107933.4453292156,396106.7399960965,0.0,379.4733192202055
0.6,120,9222,0.05,0.0,0.0,1.0,0.05,0.0,-128570.89069176067,-128570.89069176067,588824.4675806331,1.0,536.6563145999495
0.6,240,9342,0.0,0.0,0.0,1.0,0.0,0.0,-115652.89544770017,-115652.89544770017,338237.9016803074,0.0,758.946638440411
0.9,30,9162,0.29041666666666666,0.0,0.0,1.0,0.29041666666666666,3048.938462478196,-142662.90294823234,-139613.96448575414,888150.8295234769,23.233333333333334,268.32815729997475
0.9,60,9192,0.21708333333333332,1632.4625489957398,0.19502062385991045,1.05,0.24541666666666667,11592.557312867153,-142371.72037736475,-130779.1630644976,837071.7499952158,8.683333333333334,379.4733192202055
0.9,120,9252,0.1,1807.219295072835,0.28839820240403485,1.05,0.10041666666666667,2350.6375462029973,-128703.01268828585,-126352.37514208285,626640.277230643,2.0,536.6563145999495
0.9,240,9372,0.6695833333333333,0.0,0.0,1.0,0.6695833333333333,9700.900241429801,-146855.27870924,-137154.3784678102,1010028.2201275951,6.695833333333334,758.946638440411
1.2,30,9192,0.6954166666666667,1638.5331101564225,0.11150870776166585,1.05,0.6570833333333334,273.47181489586364,-149173.3545165768,-148899.88270168094,1469421.6649506476,55.63333333333333,268.32815729997475
1.2,60,9222,0.61375,5178.988615748938,0.3618703399707587,1.05,0.6445833333333333,1101.902395966492,-146857.32200668892,-145755.41961072243,1431172.4514828797,24.55,379.4733192202055
1.2,120,9282,0.63375,0.0,0.0,1.0,0.63375,83.52058465348091,-148230.7676818194,-148147.2470971659,1488280.8142859798,12.675,536.6563145999495
